h,Low(Eur/MWh),High(Eur/MWh),Last(Eur/MWh),Weight. Avg.(Eur/MWh),Index(Eur/MWh),ID₃-Price(Eur/MWh),ID₁-Price(Eur/MWh),Buy Vol(MW),Sell Vol(MW)
00 - 01,27.31,65.03,50.99,53.57,53.57,53.67,50.16,2877.8,2780.3
01 - 02,-10,58.3,50.6,53.05,53.05,52.62,50.61,2548.7,2284.5
02 - 03,41.04,68.31,56,53.48,53.48,53.27,53.66,3123.6,2724.6
03 - 04,40.2,64.9,47.55,52.89,52.89,52.68,52.94,3796.1,2882.7
04 - 05,35.01,67.99,53,53.55,53.55,54.27,53.26,4150.2,3327
05 - 06,40.87,77,76,60.82,60.82,61.58,64.75,3939.6,3363.2
06 - 07,50.69,109.3,94,73.57,73.57,74.62,84.46,4454.4,3367.7
07 - 08,61.41,125,100,83.17,83.17,83.19,92.43,6036.7,6148.7
08 - 09,58.18,119.99,100,90.96,90.96,93.11,91.53,6554,6373.8
09 - 10,72,120,90,86.47,86.47,87.16,88.5,6621.9,5587.6
10 - 11,61.9,88.4,72.6,79.34,79.34,79.57,79.57,5209.8,5002.2
11 - 12,45.13,78,50,68.66,68.66,69.87,60.05,4500.1,4496.3
12 - 13,40.41,97.97,94,65.42,65.42,62.14,64.04,5085.4,5000.2
13 - 14,57.2,98,81.7,73.62,73.62,73.17,87.12,6393.3,5590.6
14 - 15,54.3,80.05,72,70.48,70.48,71.81,73.09,7072.4,5638.1
15 - 16,54.43,90,86.5,73.06,73.06,74.45,81.04,5778.8,4960.3
16 - 17,40.01,76.3,59,68.94,68.94,69.07,59.37,5569.6,4843.8
17 - 18,49.21,88.17,79,74.13,74.13,74.3,77.41,4511.7,3705.9
18 - 19,52.21,93.59,81,80.03,80.03,78.63,75.77,5649.4,4161.3
19 - 20,56.71,98.75,80,81.91,81.91,79.7,77.5,5726.3,4636.1
20 - 21,70.1,94.99,70.1,82.6,82.6,80.42,83.21,6191.3,5525.6
21 - 22,55,95.13,63.8,73.46,73.46,74.34,77.38,6070.3,4610
22 - 23,53.11,86.33,65,66.54,66.54,66.78,64.92,4551.6,4437.9
23 - 24,29.31,79.27,42,54.63,54.63,54.11,50.36,4407.5,4567.7
00 - 01,29.11,63.2,50.44,52.55,52.55,52.78,49.85,2811.5,2954.9
01 - 02,47.1,94.8,62.88,50.22,50.22,49.34,49.51,2845.3,3488.9
02 - 03,42.6,61.9,56,51.71,51.71,51.65,55.81,3036.5,3408.7
03 - 04,26.31,54.9,46.5,49.73,49.73,50.47,46.99,3192.2,3378.2
04 - 05,42.9,64.88,55,49.28,49.28,48.19,45.8,3487.4,3888.3
05 - 06,43,65,54,52.37,52.37,51.86,54.57,4399.1,3865.4
06 - 07,41,71.68,60,62.8,62.8,61.52,54.02,3620.7,3887.6
07 - 08,60,79,72.9,73.13,73.13,72.32,71.78,3440.3,4522.8
08 - 09,41,79,60,71.76,71.76,72.21,68.93,4415.8,4885.7
09 - 10,46.1,79,70,69.13,69.13,67.84,65.88,4379.3,4326
10 - 11,50.01,83,80,63.47,63.47,58.45,53.73,4368.8,4401.8
11 - 12,47,69,64.5,58.55,58.55,56.6,54.2,4629.5,4654.7
12 - 13,38,59.1,52.3,51.72,51.72,52.06,52.53,4434,4446.5
13 - 14,31,65,31,48.46,48.46,48.08,45.19,4991.6,5064.5
14 - 15,40,59.99,52,49.48,49.48,48,46.56,5856.1,5733.9
15 - 16,28.3,72.39,60,56.11,56.11,53.08,54.64,5341.2,5406.2
16 - 17,48,68.99,50,61.91,61.91,62.49,59.54,4886.4,5026.6
17 - 18,63,85.8,74,69.62,69.62,70.28,76.96,6179.2,4986.5
18 - 19,45.5,74.89,52.6,70.06,70.06,70.56,66.5,6490.9,5612.5
19 - 20,48.31,80,48.31,69.77,69.77,70.53,63.98,6122.8,5508.4
20 - 21,66.9,82.96,80,71.14,71.14,70.54,72.47,6665.3,6766
21 - 22,43,72.9,48,64.53,64.53,63.72,64.25,5447.2,5062.7
22 - 23,28.31,56.2,48.99,51.27,51.27,51.72,49.74,5585.9,5191.5
23 - 24,11.2,68.91,55.2,49.78,49.78,49.59,48.83,6848.9,6359.9
00 - 01,46.14,62,60,55.31,55.31,55.29,57.79,4044.8,3037.8
01 - 02,29.73,56.85,51.09,53.52,53.52,53.98,50.11,5758.5,4246
02 - 03,45,73.4,56,52.54,52.54,52.65,53.54,5120.7,4429.1
03 - 04,45,60,55,52.61,52.61,52.69,53.09,3627.6,2761.4
04 - 05,35.1,56.1,52,53.19,53.19,54.08,53.5,4252.3,3785.3
05 - 06,45.2,68.2,55,56.24,56.24,58.21,59.77,3943.3,3617.4
06 - 07,48.31,67,58.48,62.88,62.88,63.62,61.58,4930.8,4324.7
07 - 08,58.5,126,69.1,76.11,76.11,73.93,79.57,5958.1,5460.6
08 - 09,62,90,80,76.72,76.72,77.26,82.74,6852.6,6487.6
09 - 10,64.3,85,81.8,73.74,73.74,74.04,73.4,7629.2,7536.1
10 - 11,45,90.9,64.49,74.73,74.73,75.14,81.83,7680.1,7688.1
11 - 12,49.05,79,59,70.4,70.4,72.76,71.35,8488.8,8105.2
12 - 13,50,99,86,67.35,67.35,69.31,75.26,6652.2,6317.3
13 - 14,50,99,70.9,64.37,64.37,65.01,58.52,7297.5,6812.6
14 - 15,41,80,72,62.55,62.55,63.36,68.03,7019.1,6954.2
15 - 16,51,75.99,70,60.78,60.78,61.95,63.83,7473.2,7201.4
16 - 17,51,73.4,55,61.12,61.12,62.62,64.77,6960.4,6772.3
17 - 18,48.4,73.4,55.1,63.71,63.71,64.36,63.75,5387.9,5200.9
18 - 19,0,77.99,67.5,67.96,67.96,67.77,65.88,5159.5,5295
19 - 20,5.1,77,60,67.32,67.32,66.15,58.94,5025.1,5465.3
20 - 21,27,82,27,69.36,69.36,67.88,71.06,5402.7,6081.7
21 - 22,47.2,73,56.5,60.47,60.47,57.93,52.94,4644,5587.3
22 - 23,51,85,56,56.18,56.18,55.13,54.82,3948.5,4778.4
23 - 24,49,61.6,51,52.87,52.87,52.42,56.45,4103.2,4581.9
00 - 01,41,57,54,52.43,52.43,52.51,53.5,2148.1,2083.8
01 - 02,18,56.7,49.99,51.15,51.15,51.54,51.84,2410.5,2364.8
02 - 03,35,55,35,49.56,49.56,49.88,50.31,3035.2,2679.6
03 - 04,36.7,52.59,36.7,48.08,48.09,47.47,42.93,4136.5,3857.2
04 - 05,45.71,173.2,53,50.07,50.07,48.87,50.09,3197.1,2712.8
05 - 06,39,68.8,67,50.7,50.7,49.81,49.48,2937.1,2522.6
06 - 07,37.56,67.29,49.6,59.69,59.69,59.86,53.47,2813.4,2592.9
07 - 08,30,75,46.9,65.48,65.48,68.01,58.89,3195,3378.5
08 - 09,53,76.99,65,69.95,69.95,69.76,67.9,3480.9,3695.5
09 - 10,61.1,78,70.3,71.04,71.04,70.42,67.69,4745.7,4171.5
10 - 11,59.02,124.9,59.02,72.14,72.14,71.16,73.53,6547.2,5535.7
11 - 12,48.7,77.9,62,71.95,71.95,72.51,72.5,8459.9,6492.6
12 - 13,59,76.9,72,71.51,71.52,71.5,68.87,8413.1,6403.3
13 - 14,60.95,75,64,70.91,70.91,70.3,68.67,8312.3,6523.1
14 - 15,52,75.4,65.3,69.93,69.93,68.37,68.17,8576.3,6530
15 - 16,42.01,73,55,67.52,67.52,66.04,62.24,7207.4,5304.8
16 - 17,55,85.49,64.01,66.98,66.98,65.01,64.28,6068.3,5304.5
17 - 18,56.1,86,86,69.09,69.1,67.25,65.47,5488.8,5484.4
18 - 19,66.3,80,77.8,70.8,70.8,70.59,74.54,4908.2,4286
19 - 20,45.4,80.4,72.99,70.6,70.61,71.16,72.12,4429.4,3984.8
20 - 21,66,84.99,80,71.73,71.73,71.93,73.05,4473.3,3498.9
21 - 22,40.6,78.5,63.7,71.01,71.01,73.06,74.78,5267.7,4496.9
22 - 23,60,72.71,65,65.51,65.52,67.61,69.44,4478.4,4306.3
23 - 24,55,70,64,62.45,62.45,63.66,65.96,4593.6,4242
